dpmb,sex,age,race,educ,polaff,polrig,mmtrust,pref_fox,pref_cnn,pref_bbc,pref_nyt,pref_wsj,pref_npr
3.30,0.00,0.00,0.00,0.00,1.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2.88,1.00,0.00,0.00,0.00,1.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2.88,0.00,0.00,0.00,0.00,1.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2.76,1.00,1.00,0.00,1.00,1.00,5.33,0.00,1.00,0.00,0.00,0.00,1.00,0.00
2.76,0.00,0.00,0.00,0.00,1.00,4.67,0.00,1.00,1.00,0.00,0.00,0.00,0.00
2.70,0.00,0.00,0.00,0.00,1.00,5.33,0.00,1.00,0.00,0.00,0.00,1.00,0.00
2.63,0.00,0.00,0.00,0.00,1.00,3.67,0.00,1.00,0.00,0.00,0.00,1.00,0.00
2.52,1.00,0.00,0.00,0.00,1.00,4.67,0.00,0.00,1.00,0.00,0.00,0.00,0.00
2.28,0.00,0.00,0.00,0.00,1.00,4.83,0.00,1.00,0.00,0.00,0.00,1.00,0.00
2.25,1.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.22,0.00,1.00,0.00,0.00,1.00,4.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2.16,1.00,1.00,0.00,0.00,1.00,4.83,0.00,1.00,0.00,0.00,0.00,0.00,0.00
3.00,1.00,0.00,0.00,0.00,1.00,5.50,1.00,0.00,1.00,0.00,1.00,1.00,0.00
1.88,0.00,0.00,0.00,0.00,1.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1.75,0.00,1.00,0.00,1.00,1.00,4.17,0.00,1.00,0.00,1.00,0.00,1.00,0.00
1.38,1.00,0.00,0.00,0.00,1.00,3.83,0.00,1.00,0.00,0.00,1.00,0.00,0.00
1.38,1.00,0.00,0.00,0.00,1.00,3.67,0.00,1.00,0.00,1.00,0.00,1.00,0.00
1.38,0.00,1.00,0.00,0.00,1.00,2.33,0.00,1.00,0.00,1.00,0.00,0.00,0.00
1.25,1.00,1.00,0.00,1.00,1.00,3.67,0.00,1.00,0.00,0.00,1.00,0.00,0.00
1.25,0.00,1.00,0.00,0.00,1.00,3.33,0.00,1.00,0.00,1.00,0.00,0.00,0.00
1.25,0.00,1.00,0.00,0.00,1.00,2.33,0.00,1.00,0.00,0.00,0.00,1.00,0.00
1.25,0.00,1.00,0.00,1.00,1.00,2.17,0.00,0.00,0.00,0.00,1.00,1.00,0.00
3.00,1.00,0.00,0.00,0.00,1.00,5.83,1.00,1.00,1.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,1.00,3.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.88,0.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
0.88,1.00,1.00,0.00,1.00,1.00,3.17,0.00,1.00,0.00,0.00,1.00,1.00,0.00
0.75,1.00,0.00,0.00,0.00,1.00,3.67,0.00,1.00,0.00,0.00,0.00,0.00,1.00
0.75,0.00,0.00,0.00,0.00,1.00,3.33,0.00,1.00,0.00,0.00,1.00,1.00,0.00
0.75,0.00,0.00,0.00,0.00,1.00,2.67,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1.00,1.00,1.00,0.00,1.00,1.00,4.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
0.80,0.00,0.00,0.00,0.00,3.00,4.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00
0.63,1.00,0.00,0.00,1.00,1.00,3.67,0.00,1.00,0.00,0.00,0.00,1.00,1.00
0.63,1.00,0.00,0.00,0.00,1.00,3.67,0.00,1.00,0.00,1.00,0.00,1.00,0.00
0.63,0.00,0.00,0.00,0.00,1.00,3.50,0.00,0.00,1.00,0.00,0.00,0.00,1.00
0.70,1.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
0.63,1.00,0.00,0.00,0.00,1.00,2.83,0.00,1.00,1.00,0.00,0.00,0.00,0.00
1.00,1.00,1.00,0.00,1.00,2.00,4.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00
0.60,1.00,1.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
0.60,1.00,0.00,0.00,0.00,1.00,3.33,0.00,1.00,0.00,0.00,1.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,2.00,4.20,1.00,0.00,0.00,1.00,1.00,0.00,1.00
0.80,0.00,0.00,0.00,0.00,3.00,3.70,1.00,0.00,0.00,1.00,1.00,0.00,1.00
0.50,0.00,0.00,0.00,0.00,1.00,4.50,1.00,1.00,1.00,0.00,1.00,0.00,0.00
0.48,0.00,1.00,0.00,1.00,1.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0.38,1.00,0.00,0.00,0.00,1.00,4.17,0.00,0.00,0.00,1.00,1.00,0.00,1.00
0.38,0.00,0.00,0.00,0.00,1.00,3.50,0.00,0.00,0.00,0.00,1.00,0.00,1.00
0.38,1.00,1.00,0.00,0.00,1.00,3.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.60,1.00,0.00,0.00,0.00,1.00,3.75,1.00,0.00,0.00,0.00,0.00,6.00,1.00
0.38,0.00,1.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
0.30,0.00,0.00,0.00,0.00,1.00,3.33,0.00,1.00,0.00,0.00,0.00,1.00,0.00
0.25,0.00,0.00,0.00,0.00,1.00,4.33,0.00,1.00,0.00,0.00,0.00,1.00,0.00
0.25,0.00,1.00,0.00,1.00,1.00,3.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00
0.80,1.00,0.00,0.00,0.00,1.00,3.75,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1.00,1.00,1.00,1.00,1.00,1.00,3.75,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.25,0.00,0.00,0.00,0.00,1.00,2.17,0.00,1.00,0.00,0.00,1.00,1.00,0.00
1.00,1.00,1.00,0.00,0.00,2.00,3.75,1.00,0.00,0.00,0.00,1.00,0.00,0.00
0.13,1.00,0.00,0.00,0.00,1.00,3.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.13,1.00,1.00,0.00,0.00,1.00,2.67,0.00,1.00,0.00,1.00,0.00,1.00,0.00
0.13,1.00,0.00,0.00,0.00,1.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.12,0.00,1.00,0.00,1.00,1.00,3.67,0.00,1.00,0.00,0.00,0.00,0.00,1.00
1.00,0.00,1.00,0.00,0.00,3.00,3.75,1.00,1.00,0.00,1.00,0.00,0.00,0.00
0.06,0.00,1.00,0.00,0.00,1.00,3.33,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,1.00,0.00,1.00,2.00,3.92,1.00,0.00,1.00,0.00,1.00,1.00,0.00
0.00,0.00,1.00,1.00,1.00,1.00,3.50,0.00,0.00,0.00,1.00,0.00,1.00,1.00
0.75,0.00,0.00,0.00,0.00,3.00,3.92,1.00,0.00,0.00,1.00,0.00,0.00,0.00
0.00,0.00,1.00,0.00,1.00,1.00,3.17,0.00,0.00,1.00,1.00,0.00,0.00,1.00
1.10,1.00,1.00,0.00,1.00,1.00,4.07,1.00,0.00,0.00,1.00,1.00,1.00,0.00
0.00,1.00,1.00,0.00,1.00,1.00,2.50,0.00,1.00,0.00,0.00,1.00,1.00,0.00
0.00,1.00,1.00,0.00,1.00,1.00,2.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1.10,1.00,1.00,0.00,1.00,1.00,4.07,1.00,0.00,0.00,0.00,1.00,1.00,0.00
-0.12,1.00,1.00,0.00,0.00,1.00,3.83,0.00,0.00,0.00,1.00,1.00,0.00,1.00
-0.13,0.00,0.00,0.00,0.00,1.00,3.83,0.00,1.00,0.00,0.00,1.00,1.00,0.00
-0.13,0.00,1.00,0.00,0.00,1.00,3.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00
1.20,1.00,1.00,0.00,1.00,2.00,4.08,1.00,1.00,1.00,0.00,1.00,0.00,0.00
1.40,1.00,0.00,0.00,0.00,1.00,4.25,1.00,0.00,0.00,0.00,1.00,1.00,1.00
1.50,1.00,0.00,0.00,0.00,1.00,4.25,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1.50,1.00,1.00,0.00,0.00,2.00,4.25,1.00,0.00,0.00,0.00,0.00,0.00,1.00
-0.25,1.00,0.00,0.00,0.00,1.00,3.33,0.00,1.00,0.00,0.00,0.00,1.00,0.00
-0.25,0.00,1.00,0.00,0.00,1.00,2.50,0.00,1.00,0.00,1.00,0.00,1.00,0.00
-0.25,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
1.20,0.00,1.00,0.00,0.00,2.00,4.25,1.00,0.00,0.00,1.00,1.00,1.00,0.00
-0.38,1.00,0.00,0.00,0.00,1.00,2.67,0.00,0.00,1.00,0.00,1.00,0.00,0.00
1.30,1.00,0.00,0.00,0.00,2.00,4.25,1.00,0.00,0.00,0.00,1.00,1.00,0.00
-0.48,1.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
1.00,0.00,1.00,1.00,0.00,3.00,4.25,1.00,0.00,0.00,0.00,0.00,1.00,1.00
1.30,0.00,0.00,0.00,0.00,1.00,4.44,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,0.00,1.00,0.00,1.00,1.00,4.42,1.00,1.00,0.00,0.00,1.00,1.00,0.00
1.70,1.00,0.00,1.00,0.00,1.00,4.42,1.00,0.00,0.00,0.00,1.00,1.00,1.00
-0.75,1.00,1.00,0.00,0.00,1.00,3.50,0.00,0.00,0.00,1.00,0.00,0.00,1.00
-0.75,1.00,1.00,0.00,1.00,1.00,1.83,0.00,1.00,1.00,0.00,0.00,0.00,0.00
0.90,0.00,1.00,0.00,0.00,2.00,4.42,1.00,0.00,1.00,0.00,1.00,1.00,0.00
1.20,0.00,0.00,0.00,0.00,2.00,4.42,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1.00,1.00,0.00,0.00,0.00,2.00,4.42,1.00,0.00,1.00,0.00,1.00,0.00,0.00
-1.13,1.00,0.00,0.00,0.00,1.00,2.83,0.00,0.00,0.00,0.00,1.00,1.00,0.00
1.30,0.00,1.00,0.00,1.00,1.00,4.58,1.00,0.00,1.00,1.00,1.00,0.00,0.00
1.10,1.00,0.00,0.00,0.00,1.00,4.58,1.00,0.00,1.00,0.00,1.00,0.00,0.00
1.00,1.00,0.00,0.00,1.00,2.00,4.58,1.00,0.00,1.00,0.00,0.00,0.00,0.00
1.20,1.00,0.00,0.00,0.00,2.00,4.58,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.60,1.00,1.00,0.00,1.00,2.00,3.83,1.00,0.00,1.00,0.00,1.00,0.00,1.00
0.60,1.00,0.00,0.00,0.00,2.00,3.83,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.70,0.00,1.00,0.00,1.00,2.00,3.83,1.00,1.00,0.00,0.00,1.00,0.00,0.00
0.00,1.00,0.00,0.00,0.00,1.00,3.33,0.00,0.00,0.00,1.00,0.00,0.00,1.00
0.50,1.00,0.00,1.00,0.00,2.00,3.83,1.00,1.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,1.00,0.00,0.00,1.00,3.33,0.00,0.00,0.00,0.00,1.00,1.00,0.00
0.80,1.00,1.00,0.00,1.00,2.00,3.83,1.00,1.00,0.00,1.00,0.00,1.00,0.00
0.00,1.00,0.00,0.00,0.00,1.00,3.33,0.00,1.00,0.00,0.00,0.00,1.00,0.00
3.63,0.00,1.00,0.00,1.00,2.00,5.67,0.00,0.00,0.00,0.00,0.00,0.00,1.00
0.80,1.00,0.00,0.00,0.00,2.00,3.83,1.00,0.00,0.00,0.00,1.00,0.00,0.00
0.80,1.00,1.00,1.00,1.00,3.00,3.83,1.00,0.00,1.00,0.00,0.00,0.00,1.00
0.70,1.00,1.00,1.00,1.00,3.00,3.83,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.60,1.00,0.00,1.00,0.00,3.00,3.83,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.90,1.00,1.00,0.00,1.00,3.00,3.83,1.00,0.00,0.00,0.00,0.00,0.00,0.00
0.80,1.00,0.00,1.00,0.00,1.00,4.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00
0.50,0.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00
3.06,0.00,1.00,1.00,1.00,2.00,5.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.20,1.00,0.00,0.00,1.00,1.00,4.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00
1.00,0.00,1.00,1.00,1.00,2.00,4.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1.38,1.00,0.00,0.00,0.00,2.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
2.88,1.00,0.00,0.00,0.00,2.00,4.83,0.00,0.00,1.00,0.00,1.00,0.00,0.00
2.82,0.00,0.00,0.00,0.00,2.00,4.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,2.00,4.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00
2.75,1.00,0.00,0.00,0.00,2.00,4.17,0.00,1.00,0.00,0.00,0.00,1.00,1.00
2.63,0.00,0.00,0.00,0.00,2.00,3.83,0.00,0.00,0.00,0.00,1.00,0.00,0.00
0.60,1.00,0.00,0.00,0.00,2.00,4.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00
0.50,1.00,0.00,0.00,0.00,2.00,4.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
0.90,0.00,0.00,0.00,0.00,2.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
0.70,1.00,0.00,0.00,0.00,2.00,4.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.80,1.00,1.00,0.00,1.00,2.00,4.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
0.70,1.00,0.00,0.00,1.00,2.00,4.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.90,1.00,1.00,1.00,1.00,2.00,4.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00
2.00,1.00,1.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
1.88,1.00,0.00,0.00,0.00,2.00,4.17,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1.00,1.00,0.00,0.00,0.00,2.00,4.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00
0.70,1.00,1.00,0.00,0.00,2.00,4.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.50,0.00,0.00,1.00,0.00,2.00,4.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.70,1.00,1.00,1.00,1.00,2.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
1.88,1.00,1.00,0.00,0.00,2.00,3.83,0.00,0.00,1.00,0.00,1.00,1.00,0.00
0.40,1.00,0.00,0.00,0.00,3.00,4.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.70,1.00,1.00,1.00,1.00,3.00,4.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
0.60,1.00,1.00,0.00,0.00,3.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,1.00,3.00,4.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.80,1.00,0.00,0.00,0.00,1.00,4.17,1.00,0.00,1.00,0.00,1.00,0.00,0.00
1.20,1.00,1.00,1.00,0.00,2.00,4.17,1.00,0.00,0.00,0.00,1.00,1.00,1.00
1.56,1.00,1.00,0.00,0.00,2.00,4.33,0.00,0.00,0.00,0.00,1.00,0.00,1.00
1.38,1.00,0.00,0.00,0.00,2.00,4.17,1.00,0.00,0.00,0.00,1.00,1.00,1.00
1.25,0.00,0.00,1.00,0.00,2.00,4.17,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1.13,1.00,0.00,0.00,1.00,2.00,4.17,1.00,0.00,0.00,0.00,1.00,0.00,1.00
0.75,1.00,1.00,1.00,1.00,2.00,4.17,1.00,0.00,0.00,1.00,0.00,0.00,1.00
1.38,1.00,0.00,0.00,0.00,2.00,4.33,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0.75,1.00,0.00,1.00,0.00,2.00,4.17,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.50,1.00,1.00,0.00,0.00,2.00,4.17,1.00,0.00,0.00,1.00,1.00,1.00,0.00
0.60,1.00,0.00,1.00,0.00,2.00,4.17,1.00,0.00,1.00,1.00,1.00,0.00,0.00
0.38,0.00,0.00,1.00,0.00,2.00,4.17,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.25,1.00,0.00,0.00,0.00,2.00,4.17,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.10,0.00,0.00,0.00,0.00,2.00,4.17,1.00,0.00,1.00,0.00,1.00,0.00,0.00
1.25,1.00,0.00,0.00,0.00,2.00,3.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.20,1.00,1.00,1.00,0.00,2.00,3.50,0.00,0.00,0.00,0.00,1.00,0.00,0.00
1.13,1.00,0.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.13,1.00,0.00,0.00,0.00,2.00,3.67,0.00,0.00,0.00,0.00,1.00,1.00,0.00
0.60,1.00,0.00,1.00,0.00,2.00,4.17,1.00,0.00,0.00,0.00,0.00,0.00,1.00
0.60,1.00,0.00,0.00,0.00,2.00,4.17,1.00,0.00,1.00,0.00,1.00,0.00,1.00
0.80,1.00,0.00,1.00,0.00,2.00,4.17,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.50,1.00,0.00,0.00,0.00,2.00,4.17,1.00,0.00,1.00,0.00,1.00,0.00,0.00
1.08,0.00,1.00,1.00,0.00,2.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1.02,1.00,0.00,1.00,0.00,2.00,3.50,0.00,0.00,1.00,0.00,0.00,0.00,0.00
1.00,1.00,1.00,0.00,1.00,2.00,4.17,0.00,0.00,0.00,1.00,1.00,0.00,1.00
1.40,1.00,0.00,0.00,0.00,2.00,4.17,1.00,0.00,0.00,1.00,1.00,0.00,0.00
1.00,1.00,1.00,0.00,1.00,2.00,4.17,1.00,0.00,0.00,0.00,1.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,2.00,4.17,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.90,1.00,1.00,0.00,1.00,2.00,4.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00
1.00,0.00,0.00,0.00,0.00,2.00,4.17,1.00,0.00,1.00,0.00,1.00,0.00,0.00
0.90,1.00,0.00,1.00,0.00,2.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0.90,1.00,0.00,0.00,1.00,3.00,4.17,1.00,0.00,1.00,0.00,0.00,1.00,0.00
0.90,0.00,0.00,0.00,1.00,3.00,4.17,1.00,0.00,1.00,1.00,1.00,0.00,0.00
1.30,1.00,1.00,0.00,0.00,1.00,4.33,1.00,0.00,0.00,1.00,1.00,0.00,1.00
1.02,1.00,1.00,1.00,1.00,1.00,4.33,1.00,0.00,1.00,0.00,0.00,0.00,1.00
1.02,1.00,0.00,0.00,0.00,1.00,4.33,1.00,0.00,0.00,0.00,1.00,1.00,1.00
1.02,0.00,1.00,0.00,1.00,1.00,4.33,1.00,0.00,1.00,1.00,0.00,0.00,1.00
0.88,0.00,1.00,0.00,1.00,2.00,2.83,0.00,0.00,0.00,0.00,1.00,1.00,0.00
0.75,1.00,0.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.60,1.00,0.00,0.00,0.00,2.00,4.33,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.50,1.00,1.00,1.00,1.00,2.00,4.33,1.00,0.00,1.00,1.00,1.00,0.00,0.00
1.00,0.00,0.00,1.00,0.00,2.00,4.33,1.00,0.00,1.00,0.00,0.00,0.00,0.00
1.90,1.00,0.00,1.00,0.00,2.00,4.33,1.00,0.00,0.00,1.00,1.00,0.00,0.00
1.20,1.00,1.00,0.00,1.00,2.00,4.33,1.00,0.00,1.00,0.00,0.00,0.00,1.00
0.63,1.00,0.00,0.00,0.00,2.00,3.83,0.00,0.00,0.00,0.00,1.00,1.00,1.00
1.00,1.00,1.00,0.00,1.00,2.00,4.33,1.00,0.00,0.00,0.00,1.00,0.00,1.00
0.50,0.00,0.00,0.00,0.00,2.00,3.33,1.00,0.00,1.00,1.00,1.00,0.00,0.00
0.60,1.00,1.00,0.00,1.00,2.00,3.33,0.00,1.00,0.00,0.00,1.00,0.00,0.00
0.50,0.00,0.00,0.00,0.00,2.00,3.33,1.00,0.00,1.00,1.00,1.00,0.00,0.00
0.50,1.00,0.00,0.00,0.00,2.00,3.33,1.00,0.00,0.00,1.00,1.00,0.00,1.00
0.50,1.00,1.00,0.00,1.00,2.00,3.33,1.00,0.00,1.00,0.00,1.00,1.00,0.00
0.50,1.00,0.00,0.00,0.00,2.00,3.33,1.00,0.00,0.00,1.00,1.00,0.00,1.00
0.50,1.00,0.00,0.00,0.00,2.00,3.33,1.00,0.00,1.00,1.00,0.00,0.00,0.00
